uid expr treatment rep update lineage_label
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 16900 4.43981
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 17000 4.44329
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 17100 4.43555
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 17200 4.43617
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 17300 4.43986
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 17400 4.43343
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 17500 4.43558
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 17600 4.44412
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 17700 4.43758
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 17800 4.43209
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 17900 4.4435
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 18000 4.45112
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 18100 4.45794
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 18200 4.44485
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 18300 4.44466
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 18400 4.44942
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 18500 4.44185
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 18600 4.4373
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 18700 4.43395
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 18800 4.43957
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 18900 4.45064
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 19000 4.45019
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 19100 4.45011
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 19200 4.45557
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 19300 4.43913
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 19400 4.44197
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 19500 4.43964
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 19600 4.45287
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 19700 4.46041
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 19800 4.46303
